DAY;PARTICIPANT;PHASE OF THE DAY;ENVIRONMENT;LIGHT;SCENARIO;SKY CONDITION;TIME AND DATE;mEDI;? ALPHA AVG.;? BETA LOW AVG.;? GAMMA AVG.
5;13;11.35;RE;DL;ACT;CIE Standard Overcast Sky + light rain;Day;488;12,7910;10,7409;10,6825
5;13;11.37;RE;DL+EL;CONT;CIE Standard Overcast Sky + light rain;Day;659;9,8537;7,4564;6,0617
5;13;11.38;RE;DL+EL;EXP;CIE Standard Overcast Sky + light rain;Day;655;10,9029;8,4516;7,9799
5;13;11.40;RE;DL+EL;CONT;CIE Standard Overcast Sky + light rain;Day;654;10,2557;7,6430;6,0981
5;13;11.41;RE;DL+EL;ACT;CIE Standard Overcast Sky + light rain;Day;649;12,6384;9,7264;9,0931
5;13;11.50;VR;DL;CONT;OVERCAST;DAY;490;11,9268;9,6598;10,5895
5;13;11.51;VR;DL;EXP;OVERCAST;DAY;509;12,3148;10,4146;11,4249
5;13;11.53;VR;DL;CONT;OVERCAST;DAY;509;9,2093;7,7900;9,7754
5;13;11.54;VR;DL;ACT;OVERCAST;DAY;496;12,9454;11,3773;13,7862
5;13;11.56;VR;DL+EL;CONT;OVERCAST;DAY;777;9,4402;7,4386;9,1802
5;13;11.57;VR;DL+EL;EXP;OVERCAST;DAY;785;12,2048;9,9498;11,6022
5;13;11.59;VR;DL+EL;CONT;OVERCAST;DAY;758;8,6548;6,9226;9,0215
5;13;12.01;VR;DL+EL;ACT;OVERCAST;DAY;781;12,6348;11,3370;13,1527
5;14;13.30;RE;DL;CONT;CIE Standard Overcast Sky + light rain;Day;311;11,2312;7,1893;4,5966
5;14;13.31;RE;DL;EXP;CIE Standard Overcast Sky + light rain;Day;302;8,1916;5,1568;1,8730
5;14;13.33;RE;DL;CONT;CIE Standard Overcast Sky + light rain;Day;300;10,9260;7,5505;4,3318
5;14;13.34;RE;DL;ACT;CIE Standard Overcast Sky + light rain;Day;292;12,4172;10,8647;13,7975
5;14;13.36;RE;DL+EL;CONT;CIE Standard Overcast Sky + light rain;Day;458;11,7767;9,7460;11,3968
5;14;13.37;RE;DL+EL;EXP;CIE Standard Overcast Sky + light rain;Day;455;11,6370;10,0184;12,2938
5;14;13.39;RE;DL+EL;CONT;CIE Standard Overcast Sky + light rain;Day;453;12,9078;10,7191;15,2026
5;14;13.41;RE;DL+EL;ACT;CIE Standard Overcast Sky + light rain;Day;443;13,6643;12,4822;17,3123
5;14;13.50;VR;DL;CONT;OVERCAST;DAY;419;10,5841;8,7115;12,0992
5;14;13.51;VR;DL;EXP;OVERCAST;DAY;443;9,0536;6,7148;6,3143
5;14;13.53;VR;DL;CONT;OVERCAST;DAY;444;9,8273;6,6180;8,3341
5;14;13.54;VR;DL;ACT;OVERCAST;DAY;449;9,5820;7,7491;11,7006
5;14;13.56;VR;DL+EL;CONT;OVERCAST;DAY;692;10,4123;6,9946;7,5002
5;14;13.58;VR;DL+EL;EXP;OVERCAST;DAY;742;9,1053;6,4990;7,2158
5;14;14.00;VR;DL+EL;CONT;OVERCAST;DAY;690;11,6440;8,2904;9,5733
5;14;14.01;VR;DL+EL;ACT;OVERCAST;DAY;695;12,7126;11,4582;16,6852
5;15;14.30;RE;DL;CONT;CIE Standard Overcast Sky + light rain;Day;286;7,3971;5,1790;6,4756
5;15;14.31;RE;DL;EXP;CIE Standard Overcast Sky + light rain;Day;282;9,6355;7,6519;7,6804
5;15;14.33;RE;DL;CONT;CIE Standard Overcast Sky + light rain;Day;279;9,5196;7,2705;7,6672
5;15;14.34;RE;DL;ACT;CIE Standard Overcast Sky + light rain;Day;263;13,3837;11,6176;11,9975
5;15;14.36;RE;DL+EL;CONT;CIE Standard Overcast Sky + light rain;Day;418;11,6093;9,4530;8,8341
5;15;14.37;RE;DL+EL;EXP;CIE Standard Overcast Sky + light rain;Day;431;11,9027;9,8835;9,4717
5;15;14.39;RE;DL+EL;CONT;CIE Standard Overcast Sky + light rain;Day;437;11,5590;9,6193;9,5226
5;15;14.40;RE;DL+EL;ACT;CIE Standard Overcast Sky + light rain;Day;437;11,7051;9,8496;10,3621
5;15;14.50;VR;DL;CONT;OVERCAST;DAY;343;9,8825;8,3543;9,7615
5;15;14.51;VR;DL;EXP;OVERCAST;DAY;356;12,7191;10,4849;13,1339
5;15;14.53;VR;DL;CONT;OVERCAST;DAY;320;8,9091;7,7110;12,0221
5;15;14.54;VR;DL;ACT;OVERCAST;DAY;359;12,8637;11,0048;15,6228
5;15;14.57;VR;DL+EL;CONT;OVERCAST;DAY;591;9,5525;7,8761;10,6295
5;15;14.59;VR;DL+EL;EXP;OVERCAST;DAY;589;11,9373;9,8856;13,6183
5;15;15.01;VR;DL+EL;CONT;OVERCAST;DAY;589;9,5212;8,1896;12,6584
5;15;15.54;VR;DL+EL;ACT;OVERCAST;DAY;595;11,0387;9,8922;13,8067
